Car_label,original_label,BD_Label,Name_label,,,SUV = 8,Convertible = 1,Sedan = 6,Wagon = 10,Hatchback = 3,Sports Car = 7,Coupe = 2,Minivan = 4,Pickup = 5,Van = 9,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Van,,Van
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sports Car,,Sports Car
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Hatchback,,Hatchback
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,Coupe,,Coupe
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,Sedan,,Sedan
,,,,,,,,,,,,,,,,,,,,Pickup,,Pickup
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
,,,,,,,,,,,,,,,,,,,,SUV,,SUV
